Week,electric cars: (Worldwide)
2014-03-30,39
2014-04-06,37
2014-04-13,37
2014-04-20,42
2014-04-27,40
2014-05-04,38
2014-05-11,38
2014-05-18,37
2014-05-25,36
2014-06-01,37
2014-06-08,36
2014-06-15,33
2014-06-22,36
2014-06-29,36
2014-07-06,38
2014-07-13,40
2014-07-20,39
2014-07-27,39
2014-08-03,34
2014-08-10,32
2014-08-17,37
2014-08-24,34
2014-08-31,38
2014-09-07,37
2014-09-14,43
2014-09-21,38
2014-09-28,39
2014-10-05,39
2014-10-12,38
2014-10-19,41
2014-10-26,39
2014-11-02,39
2014-11-09,42
2014-11-16,38
2014-11-23,37
2014-11-30,40
2014-12-07,37
2014-12-14,38
2014-12-21,34
2014-12-28,33
2015-01-04,32
2015-01-11,34
2015-01-18,35
2015-01-25,33
2015-02-01,34
2015-02-08,36
2015-02-15,37
2015-02-22,35
2015-03-01,36
2015-03-08,37
2015-03-15,35
2015-03-22,35
2015-03-29,33
2015-04-05,36
2015-04-12,37
2015-04-19,40
2015-04-26,39
2015-05-03,38
2015-05-10,38
2015-05-17,39
2015-05-24,37
2015-05-31,39
2015-06-07,34
2015-06-14,35
2015-06-21,34
2015-06-28,31
2015-07-05,34
2015-07-12,36
2015-07-19,38
2015-07-26,33
2015-08-02,36
2015-08-09,33
2015-08-16,35
2015-08-23,35
2015-08-30,34
2015-09-06,34
2015-09-13,38
2015-09-20,44
2015-09-27,38
2015-10-04,38
2015-10-11,42
2015-10-18,42
2015-10-25,38
2015-11-01,40
2015-11-08,39
2015-11-15,38
2015-11-22,43
2015-11-29,46
2015-12-06,44
2015-12-13,41
2015-12-20,37
2015-12-27,34
2016-01-03,37
2016-01-10,35
2016-01-17,35
2016-01-24,35
2016-01-31,33
2016-02-07,37
2016-02-14,34
2016-02-21,39
2016-02-28,37
2016-03-06,36
2016-03-13,33
2016-03-20,36
2016-03-27,51
2016-04-03,49
2016-04-10,41
2016-04-17,39
2016-04-24,43
2016-05-01,39
2016-05-08,36
2016-05-15,37
2016-05-22,34
2016-05-29,36
2016-06-05,37
2016-06-12,35
2016-06-19,34
2016-06-26,34
2016-07-03,35
2016-07-10,33
2016-07-17,34
2016-07-24,35
2016-07-31,31
2016-08-07,35
2016-08-14,32
2016-08-21,35
2016-08-28,35
2016-09-04,37
2016-09-11,36
2016-09-18,38
2016-09-25,39
2016-10-02,38
2016-10-09,43
2016-10-16,41
2016-10-23,41
2016-10-30,43
2016-11-06,45
2016-11-13,49
2016-11-20,49
2016-11-27,52
2016-12-04,49
2016-12-11,49
2016-12-18,39
2016-12-25,40
2017-01-01,43
2017-01-08,39
2017-01-15,40
2017-01-22,41
2017-01-29,44
2017-02-05,42
2017-02-12,45
2017-02-19,43
2017-02-26,44
2017-03-05,48
2017-03-12,42
2017-03-19,42
2017-03-26,45
2017-04-02,46
2017-04-09,43
2017-04-16,46
2017-04-23,47
2017-04-30,48
2017-05-07,49
2017-05-14,48
2017-05-21,47
2017-05-28,47
2017-06-04,46
2017-06-11,45
2017-06-18,42
2017-06-25,43
2017-07-02,66
2017-07-09,57
2017-07-16,51
2017-07-23,100
2017-07-30,69
2017-08-06,63
2017-08-13,53
2017-08-20,55
2017-08-27,51
2017-09-03,63
2017-09-10,72
2017-09-17,60
2017-09-24,62
2017-10-01,69
2017-10-08,68
2017-10-15,62
2017-10-22,65
2017-10-29,61
2017-11-05,66
2017-11-12,73
2017-11-19,74
2017-11-26,71
2017-12-03,70
2017-12-10,61
2017-12-17,58
2017-12-24,54
2017-12-31,60
2018-01-07,56
2018-01-14,59
2018-01-21,60
2018-01-28,58
2018-02-04,58
2018-02-11,58
2018-02-18,62
2018-02-25,59
2018-03-04,62
2018-03-11,59
2018-03-18,56
2018-03-25,55
2018-04-01,55
2018-04-08,57
2018-04-15,62
2018-04-22,60
2018-04-29,60
2018-05-06,61
2018-05-13,60
2018-05-20,64
2018-05-27,61
2018-06-03,60
2018-06-10,54
2018-06-17,54
2018-06-24,53
2018-07-01,52
2018-07-08,56
2018-07-15,57
2018-07-22,53
2018-07-29,51
2018-08-05,57
2018-08-12,58
2018-08-19,61
2018-08-26,64
2018-09-02,69
2018-09-09,70
2018-09-16,69
2018-09-23,63
2018-09-30,68
2018-10-07,76
2018-10-14,79
2018-10-21,72
2018-10-28,67
2018-11-04,66
2018-11-11,63
2018-11-18,66
2018-11-25,77
2018-12-02,77
2018-12-09,69
2018-12-16,65
2018-12-23,66
2018-12-30,64
2019-01-06,69
2019-01-13,71
2019-01-20,63
2019-01-27,63
2019-02-03,69
2019-02-10,64
2019-02-17,70
2019-02-24,80
2019-03-03,77
2019-03-10,75
2019-03-17,75
2019-03-24,69
