Week,Renewable energy: (Worldwide)
2014-03-30,82
2014-04-06,80
2014-04-13,66
2014-04-20,75
2014-04-27,78
2014-05-04,85
2014-05-11,88
2014-05-18,89
2014-05-25,80
2014-06-01,81
2014-06-08,70
2014-06-15,68
2014-06-22,60
2014-06-29,56
2014-07-06,55
2014-07-13,56
2014-07-20,54
2014-07-27,55
2014-08-03,52
2014-08-10,53
2014-08-17,61
2014-08-24,62
2014-08-31,66
2014-09-07,70
2014-09-14,74
2014-09-21,78
2014-09-28,75
2014-10-05,76
2014-10-12,78
2014-10-19,78
2014-10-26,78
2014-11-02,84
2014-11-09,82
2014-11-16,83
2014-11-23,77
2014-11-30,81
2014-12-07,77
2014-12-14,64
2014-12-21,35
2014-12-28,34
2015-01-04,66
2015-01-11,74
2015-01-18,74
2015-01-25,73
2015-02-01,75
2015-02-08,75
2015-02-15,72
2015-02-22,79
2015-03-01,81
2015-03-08,83
2015-03-15,80
2015-03-22,81
2015-03-29,71
2015-04-05,76
2015-04-12,89
2015-04-19,85
2015-04-26,79
2015-05-03,82
2015-05-10,85
2015-05-17,86
2015-05-24,80
2015-05-31,78
2015-06-07,76
2015-06-14,70
2015-06-21,65
2015-06-28,54
2015-07-05,55
2015-07-12,50
2015-07-19,54
2015-07-26,53
2015-08-02,56
2015-08-09,57
2015-08-16,59
2015-08-23,62
2015-08-30,64
2015-09-06,67
2015-09-13,71
2015-09-20,68
2015-09-27,74
2015-10-04,76
2015-10-11,73
2015-10-18,77
2015-10-25,74
2015-11-01,79
2015-11-08,83
2015-11-15,84
2015-11-22,77
2015-11-29,87
2015-12-06,79
2015-12-13,73
2015-12-20,42
2015-12-27,39
2016-01-03,65
2016-01-10,73
2016-01-17,74
2016-01-24,71
2016-01-31,75
2016-02-07,75
2016-02-14,75
2016-02-21,79
2016-02-28,82
2016-03-06,85
2016-03-13,82
2016-03-20,68
2016-03-27,77
2016-04-03,89
2016-04-10,94
2016-04-17,94
2016-04-24,88
2016-05-01,84
2016-05-08,91
2016-05-15,92
2016-05-22,88
2016-05-29,84
2016-06-05,80
2016-06-12,73
2016-06-19,66
2016-06-26,61
2016-07-03,56
2016-07-10,52
2016-07-17,54
2016-07-24,55
2016-07-31,56
2016-08-07,56
2016-08-14,53
2016-08-21,62
2016-08-28,65
2016-09-04,68
2016-09-11,70
2016-09-18,75
2016-09-25,73
2016-10-02,72
2016-10-09,73
2016-10-16,75
2016-10-23,76
2016-10-30,79
2016-11-06,85
2016-11-13,92
2016-11-20,81
2016-11-27,87
2016-12-04,76
2016-12-11,72
2016-12-18,53
2016-12-25,39
2017-01-01,58
2017-01-08,72
2017-01-15,76
2017-01-22,73
2017-01-29,75
2017-02-05,74
2017-02-12,75
2017-02-19,77
2017-02-26,81
2017-03-05,82
2017-03-12,82
2017-03-19,82
2017-03-26,85
2017-04-02,85
2017-04-09,68
2017-04-16,80
2017-04-23,88
2017-04-30,79
2017-05-07,86
2017-05-14,88
2017-05-21,79
2017-05-28,84
2017-06-04,81
2017-06-11,69
2017-06-18,65
2017-06-25,58
2017-07-02,56
2017-07-09,54
2017-07-16,52
2017-07-23,55
2017-07-30,58
2017-08-06,57
2017-08-13,55
2017-08-20,58
2017-08-27,60
2017-09-03,64
2017-09-10,72
2017-09-17,72
2017-09-24,72
2017-10-01,71
2017-10-08,72
2017-10-15,75
2017-10-22,77
2017-10-29,76
2017-11-05,86
2017-11-12,89
2017-11-19,77
2017-11-26,85
2017-12-03,82
2017-12-10,74
2017-12-17,56
2017-12-24,35
2017-12-31,49
2018-01-07,71
2018-01-14,71
2018-01-21,72
2018-01-28,74
2018-02-04,73
2018-02-11,70
2018-02-18,78
2018-02-25,80
2018-03-04,83
2018-03-11,85
2018-03-18,79
2018-03-25,66
2018-04-01,74
2018-04-08,86
2018-04-15,88
2018-04-22,83
2018-04-29,77
2018-05-06,84
2018-05-13,84
2018-05-20,81
2018-05-27,76
2018-06-03,77
2018-06-10,72
2018-06-17,63
2018-06-24,55
2018-07-01,50
2018-07-08,52
2018-07-15,50
2018-07-22,51
2018-07-29,54
2018-08-05,55
2018-08-12,54
2018-08-19,59
2018-08-26,63
2018-09-02,64
2018-09-09,71
2018-09-16,72
2018-09-23,70
2018-09-30,72
2018-10-07,74
2018-10-14,73
2018-10-21,77
2018-10-28,74
2018-11-04,80
2018-11-11,78
2018-11-18,73
2018-11-25,87
2018-12-02,81
2018-12-09,71
2018-12-16,59
2018-12-23,35
2018-12-30,42
2019-01-06,66
2019-01-13,67
2019-01-20,69
2019-01-27,72
2019-02-03,76
2019-02-10,77
2019-02-17,89
2019-02-24,97
2019-03-03,100
2019-03-10,91
2019-03-17,82
2019-03-24,84
